resp,comp,fproj,timezone,sfips,smsa,qcendiv,sstate,phtype,susr,qmarket,scregion,sdensity3,cregion,state,fips,density3,qlan,qs1,cintro,qs1a,ns1,cointro,qs2a,qs2b,ss2c,qs3,qs4,sex,q1,q2,q3,q4,q6,q7oe,q7.1,q7.2,q7.3,q7.4,q7.5,q7@,q7a,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,int1,int2,q9a,q9b,q9c,q9d,q9e,q9f,q10,q10a,q10b,q13,q14,q15,age,educ,schl,schl2,schl2@,rschl,rschl2,rschl2@,q17,q17@,q18a,q18b,q18c,q18d,q18e,q19,q20,q21,q22,q23a,q23b,q23c,l1,q24,q25,q25a,q26a,q26b,q26c,q26d,q26e,q26f,q26g,employ,employ2,employ2@,employ3,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44a,q44b,q44c,q44d,q44dd,q44e,q44f,q44g,q44h,q44i,q45a,q45b,q46,q47,q48,marital,lwp2,lwp3,kidsa,fam1,fam2,fixhisp,hispx,hisp2,hisp3,racecmb,race1_1,race1_2,race1_3,race1_4,racethn,hh1,hh2,hh30,relig,relig@,chr,born,attend,income,finan,health,regist,regicert,party,partyln,ideo,birthh,mothrh,fathrh,home,home2,l1a,l2,l3,qc1,qc2,qc3,isex,ihisp1,irace1_1,irace1_2,irace1_3,irace1_4,ilang,fdate,fdow,phoneuse,adults,psadjust,puadjust,wt1,q46x
2.0,Complete,4968,Eastern,36061,35620.0,2,NY,1.0,U,1,1,5,Northeast,NY,36061,5.0,English,,,,,,,,,,,Male,Very happy,Dissatisfied,Dissatisfied,Most people can be trusted,"Yes, unique and distinct",Answer given,Technology use,,,,,IN TERMS OF TECHNOLOGY,Government should do more to solve problems,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Not important,Very important but not the most,Very important but not the most,Yes,Yes,"No, did not","No, did not","Yes, did this","No, did not","Yes, did this","No, did not",Voted,Obama,,Always,"No, has not changed",(VOL) Don't know/Refused,28.0,"Some college, no 4-year degree (including associate degree)","Yes, in College (Undergraduate)",Graduate or professional school or degree,,,,,,,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,No,,No,No,New technology makes people closer to their friends and family,New technology makes people waste too much time,New technology makes life more complicated,"No, do not",,,,No,Yes,Yes,No,Yes,No,No,Full-time,,,Work for someone else,A stepping stone to a career,Yes,,,,Not too closely,No,Somewhat likely,Not at all likely,Business corporations,Favor,Should be saving and investing more,Yes have done it in last 12 months,Yes,Yes,No,No,No,Yes,Yes,,,,No,No,,,No,Never been married,"No, have not",,No,Both parents,Married,HISP3,Hispanic,,Yes,Don't know/Refused (VOL.),(VOL) Don't know/Refused,,,,Hispanic,3.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",More than once a week,"50 to under $75,000,",No,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Moderate,U.S.,Puerto Rico,Puerto Rico,,Rent,"Yes, someone in household has cell phone",,All or almost all calls on a regular home phone,,,,Male,No,White,,,,English,100114,Thursday,"Dual/few, some cell",3.0,2.0,1.0,2.0,0.0
4.0,Complete,4968,Central,31055,36540.0,4,NE,1.0,U,2,2,4,Midwest,NE,31055,4.0,English,,,,,,,,,,,Female,Very happy,Satisfied,Satisfied,Most people can be trusted,"Yes, unique and distinct",Answer given,A/O different values/traits/attitudes mentions,,,,,"we dont usually trust people very easily, and we're untrusting of religions and government, we dont trust something until we finf out for ourselves",Government is doing too many things better left to businesses and individuals,Not important,One of the most important things,One of the most important things,Very important but not the most,Very important but not the most,Not important,One of the most important things,One of the most important things,Yes,Yes,"No, did not","Yes, did this","Yes, did this","Yes, did this","No, did not","No, did not",Voted,Obama,,Always,"No, has not changed",Opponents and special interests have prevented change,33.0,"Some college, no 4-year degree (including associate degree)",No,,,No,,,,,Bad thing for society,Doesn't make much difference,Bad thing for society,Doesn't make much difference,Good thing for society,Yes,About once a day,No,Yes,New technology makes people closer to their friends and family,(VOL) Both equally,(VOL) Both equally,"No, do not",,,,Yes,Yes,No,No,Yes,No,No,Part-time,,,Work for someone else,A stepping stone to a career,Yes,,,,Very closely,Yes,Very likely,Not at all likely,Business corporations,Strongly favor,Saving and investing as much as you should,Yes have done it in last 12 months,Yes,No,No,No,No,Yes,Yes,,,,Yes,No,1.0,"No, not visible",No,Married,"No, have not",,Yes,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,4.0,2.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",More than once a week,"50 to under $75,000,",No,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,Democrat,Moderate,,,,Own,,"Yes, someone in household has cell phone",,All or almost all calls on a regular home phone,,,,Male,No,White,,,,English,100114,Thursday,"Dual/few, some cell",2.0,2.0,1.0,2.0,1.0
5.0,Complete,4968,Eastern,18023,0.0,3,IN,1.0,R,2,2,1,Midwest,IN,18023,1.0,English,,,,,,,,,,,Female,Pretty happy,Dissatisfied,Satisfied,Can't be too careful,"No, not",,,,,,,,Government is doing too many things better left to businesses and individuals,Somewhat important,One of the most important things,Somewhat important,One of the most important things,Somewhat important,Not important,Somewhat important,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","Yes, did this","No, did not","No, did not",Voted,Obama,,Always,Yes has changed,,45.0,"College graduate (B.S., B.A., or other 4-year degree)",No,,,No,,,,,Bad thing for society,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Yes,About once a day,No,No,New technology makes people more isolated,New technology allows people to use their time more efficiently,New technology makes life easier,"Yes, have cell phone",Yes,15.0,,Yes,Yes,No,No,Yes,Yes,No,Not employed,Choose not to work,,,,,,Yes,,Fairly closely,,,,Business corporations,Favor,Should be saving and investing more,Yes have done it in last 12 months,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,,,No,Married,"Yes, have",Lived with current spouse before married,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,2.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",A few times a year,"50 to under $75,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,Democrat,Moderate,,,,Own,,,,All or almost all calls on a regular home phone,,,,Female,No,Black or African-American,,,,English,100114,Thursday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
6.0,Complete,4968,Eastern,18057,26900.0,3,IN,0.0,S,2,2,3,Midwest,IN,18057,3.0,English,,,,,,,,,,,Female,Very happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Values/Morals/Religious beliefs,,,,,values a little better,Government is doing too many things better left to businesses and individuals,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Somewhat important,Not important,Very important but not the most,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","Yes, did this",Voted,McCain,,Always,Yes has changed,,66.0,High school incomplete (Grades 9-11),,,,,,,,,Bad thing for society,Bad thing for society,Bad thing for society,Good thing for society,Good thing for society,No,,No,No,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life easier,"No, do not",,,,No,No,No,Yes,No,Yes,Yes,Part-time,,,Work for someone else,Just a job to get you by,No,No,,,Fairly closely,Yes,Not very likely,Not very likely,Government,Strongly oppose,Saving and investing as much as you should,Yes have done it in last 12 months,Yes,Yes,Yes,No,Yes,No,No,,,,No,No,,,No,Married,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,2.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",A few times a year,(VOL) Don't know/Refused,,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Conservative,,,,Own,,"Yes, someone in household has cell phone",,All or almost all calls on a regular home phone,,,,Female,No,White,,,,English,100114,Thursday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
7.0,Complete,4968,Eastern,51065,16820.0,5,VA,1.0,S,3,3,1,South,VA,51065,1.0,English,,,,,,,,,,,Female,Very happy,Dissatisfied,Satisfied,Can't be too careful,"No, not",,,,,,,,Government is doing too many things better left to businesses and individuals,One of the most important things,Very important but not the most,Very important but not the most,One of the most important things,Somewhat important,Not important,Very important but not the most,Very important but not the most,Yes,Yes,"Yes, did this","Yes, did this","No, did not","No, did not","No, did not","Yes, did this",Voted,McCain,,Always,Yes has changed,,52.0,"College graduate (B.S., B.A., or other 4-year degree)",No,,,No,,,,,Bad thing for society,Bad thing for society,Good thing for society,Good thing for society,Doesn't make much difference,Yes,Every few days,Yes,No,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life easier,"Yes, have cell phone",Yes,58.0,,No,Yes,No,No,No,Yes,Yes,Full-time,,,Work for someone else,A career,Yes,,,,Very closely,Yes,Not very likely,Somewhat likely,Government,Strongly oppose,Should be saving and investing more,"No, have not ever done it",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,,No,Married,"Yes, have",Lived with both current spouse and someone else,No,Both parents,Married,HISP2,Not Hispanic,No,,Asian or Asian-American,Asian or Asian-American,,,,Other,2.0,0.0,,Atheist (do not believe in God),,,,Seldom,"$150,000 or more?",,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Conservative,,,,Own,,,,Some on a cell phone and some on a regular home phone,,,,Male,No,White,,,,English,100114,Thursday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
8.0,Complete,4968,Eastern,24003,12580.0,5,MD,1.0,S,3,3,4,South,MD,24003,4.0,English,,,,,,,,,,,Female,Very happy,Dissatisfied,Satisfied,Most people can be trusted,"No, not",,,,,,,,Government is doing too many things better left to businesses and individuals,Somewhat important,One of the most important things,One of the most important things,Very important but not the most,Somewhat important,Not important,(VOL) Don't know/Refused,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,McCain,,Always,Yes has changed,,VOL DON'T KNOW/REFUSED,"Some college, no 4-year degree (including associate degree)",,,,,,,,,Bad thing for society,(VOL) Don't know/Refused,Bad thing for society,Bad thing for society,Doesn't make much difference,Yes,About once a day,No,No,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life easier,"Yes, have cell phone",No,,,No,Yes,No,No,Yes,Yes,No,Not employed,Retired,,,,,,Yes,,Very closely,,,,Government,Favor,Saving and investing as much as you should,Yes have done it in last 12 months,Yes,No,No,No,No,Yes,Yes,,No,Yes,No,No,,,No,Married,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,2.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",Once a week,(VOL) Don't know/Refused,,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Conservative,,,,(VOL) Don't know/Refused,,,,Some on a cell phone and some on a regular home phone,,,,Male,Yes,White,,,,English,100114,Thursday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
10.0,Complete,4968,Eastern,42101,37980.0,2,PA,0.0,U,1,1,5,Northeast,PA,42101,5.0,English,,,,,,,,,,,Male,Pretty happy,Dissatisfied,Dissatisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Values/Morals/Religious beliefs,,,,,values are a little stronger than they are today,Government should do more to solve problems,Not important,One of the most important things,One of the most important things,One of the most important things,One of the most important things,Not important,One of the most important things,One of the most important things,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,Obama,,Seldom,"No, has not changed",Opponents and special interests have prevented change,60.0,"Some college, no 4-year degree (including associate degree)",No,,,No,,,,,Bad thing for society,Bad thing for society,Bad thing for society,Good thing for society,Doesn't make much difference,No,,No,No,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life more complicated,"No, do not",,,,No,Yes,Yes,No,No,Yes,Yes,Not employed,Retired,,,,,,No,No,Very closely,,,,(VOL) Both,Strongly oppose,Saving and investing as much as you should,"No, have not ever done it",Yes,Yes,Yes,No,No,No,No,,,,No,No,,,No,Separated,"No, have not",,No,Both parents,(VOL) Don't know/Refused,HISP3,Not Hispanic,,No,Black or African-American,Black or African-American,,,,Black non-Hispanic,1.0,,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",A few times a year,"10 to under $20,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,Democrat,Very conservative,,,,Own,,,,,,,,Female,Yes,Or some other race,,,,English,100114,Thursday,LLO,1.0,1.0,2.0,2.0,0.0
13.0,Complete,4968,Eastern,37007,16740.0,5,NC,1.0,S,3,3,1,South,NC,37007,1.0,English,,,,,,,,,,,Female,Not too happy,Dissatisfied,Dissatisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Work ethic/Hardworking/Motivated,,,,,"e were raised to work, the work ethic --- today pweople get welfare, the more children yopu have the more help{ you get the welfare; young people tof-day have no workethics, none.",Government should do more to solve problems,Very important but not the most,Very important but not the most,Very important but not the most,One of the most important things,Very important but not the most,Not important,Very important but not the most,Very important but not the most,No,No,"No, did not",,,"No, did not","No, did not","No, did not",Did not vote (includes too young to vote),,McCain,Seldom,"No, has not changed",Opponents and special interests have prevented change,54.0,High school graduate (Grade 12 or GED certificate),No,,,No,,,,,Bad thing for society,Bad thing for society,Good thing for society,Good thing for society,Bad thing for society,,,,,New technology makes people more isolated,New technology makes people waste too much time,(VOL) Neither equally,"Yes, have cell phone",No,,,,,,No,No,Yes,No,Full-time,,,Work for someone else,A career,No,No,,,Fairly closely,Yes,Not at all likely,Very likely,Business corporations,Oppose,Should be saving and investing more,"No, have not ever done it",No,No,No,,No,No,No,,No,No,Yes,Yes,1.0,"No, not visible",No,Divorced,"Yes, have",,No,Neither parent,Separated,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,1.0,,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",Seldom,"20 to under $30,000,",,Covered by health insurance,"No, not registered",,Independent,Democrat,"Liberal, OR",,,,Own,,,All or almost all calls on a regular home phone,,,,,Male,No,White,,,,English,100114,Thursday,"Dual/few, some cell",1.0,1.0,1.0,1.0,1.0
14.0,Complete,4968,Central,12091,18880.0,5,FL,1.0,S,3,3,2,South,FL,12091,2.0,English,,,,,,,,,,,Female,Pretty happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Values/Morals/Religious beliefs,,,,,I THINK WE HAVE BETTER VALUES AND MORALS,Government is doing too many things better left to businesses and individuals,Somewhat important,One of the most important things,One of the most important things,One of the most important things,Very important but not the most,Not important,Very important but not the most,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,McCain,,Always,Yes has changed,,48.0,"Some college, no 4-year degree (including associate degree)",No,,,No,,,,,Bad thing for society,Doesn't make much difference,Doesn't make much difference,Bad thing for society,Doesn't make much difference,Yes,Once a week,No,Yes,New technology makes people closer to their friends and family,New technology makes people waste too much time,New technology makes life more complicated,"Yes, have cell phone",Yes,1.0,,No,Yes,No,No,No,No,Yes,Not employed,Choose not to work,,,,,,No,Yes,Very closely,,,,Government,Favor,Should be saving and investing more,Yes have done it in last 12 months,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,,,No,Married,"No, have not",,Yes,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,7.0,5.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",Once a week,"75 to under $100,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Conservative,,,,Own,,,,Some on a cell phone and some on a regular home phone,,,,Male,No,White,,,,English,100114,Thursday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
15.0,Complete,4968,Central,29097,27900.0,4,MO,1.0,U,2,2,2,Midwest,MO,29097,2.0,English,,,,,,,,,,,Female,Pretty happy,Satisfied,Dissatisfied,Most people can be trusted,"No, not",,,,,,,,Government should do more to solve problems,Somewhat important,Very important but not the most,Very important but not the most,One of the most important things,Very important but not the most,Not important,One of the most important things,Somewhat important,Yes,Yes,"No, did not","Yes, did this","Yes, did this","Yes, did this","Yes, did this","Yes, did this",Voted,(VOL) Refused,,Always,Yes has changed,,48.0,"College graduate (B.S., B.A., or other 4-year degree)",No,,,Yes,Graduate or professional school or degree,,,,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Yes,Once a week,No,No,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life easier,"Yes, have cell phone",Yes,1.0,,No,Yes,No,No,Yes,Yes,Yes,Full-time,,,Work for someone else,A career,No,Yes,,,Fairly closely,No,Not very likely,Somewhat likely,Business corporations,Strongly favor,Should be saving and investing more,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,,,No,Separated,"Yes, have",,Yes,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,2.0,1.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",A few times a year,"30 to under $40,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,Democrat,"Liberal, OR",,,,Own,,,,Some on a cell phone and some on a regular home phone,,,,Female,No,Black or African-American,,,,English,100114,Thursday,"Dual/few, some cell",1.0,1.0,1.0,1.0,0.0
