Code,StationName,Staffed,StationType,Address1,Address2,Address3,City,State,Zip,Country,Division,PublicPhone,TicketOffice,QuikTrak,MetrolinkTVM,CheckedBaggage,AmtrakExpress,HandleUSMail,Lounge,UnaccompaniedChildren,AdvPayPPO,AmtrakTrains,Non-AmtrakTrains,DedicatedThruway,CoordinatedThruway,OtherTransportation,GroupCity,IATACode,IATAName,NonAmtrakTicketSale,TimeZone,ObserveDayLightSaving,CheckInWService,CheckInWOService,Latitude/Longitude,Elevation,Population,FreeText,TicketOfficeName,TicketOfficePh,TicketOfficeATSPh,TicketOfficeFax,TicketOfficeATSFax,TicketOfficeQueue,TicketOfficeMshPrinter,StationServicesName,StationServicesPh,StationServicesATSPh,StationServicesFax,StationServicesATSFax,StationServicesQueue,StationServicesMsgPrinter,StationServicesPaging,StationServicesATSPaging,StationServicesLostFoundPh,StationServicesLostFoundATSPh,FirstLvlSupervisorName,FirstLvlSupervisorTitle,FirstLvlSupervisorLocation,FirstLvlSupervisorPh,FirstLvlSupervisorATSPh,FirstLvlSupervisorFax,FirstLvlSupervisorATSFax,FirstLvlSupervisorQueue,FirstLvlSupervisorMsgPrinter,SecondLvlSupervisorName,SecondLvlSupervisorTitle,SecondLvlSupervisorLocation,SecondLvlSupervisorPh,SecondLvlSupervisorATSPh,SecondLvlSupervisorFax,SecondLvlSupervisorATSFax,SecondLvlSupervisorQueue,SecondLvlSupervisorMsgPrinter,WaitingRoomHours,BaggageHours,MeetAndAssistHours,TicketHours,Non-AmtrakTicket,Quik-TrakHours,MetrolinkTVMHours,LoungeHours,ExpressHours,MailOfficeHours,ParkingHours
ABB,"Abbotsford-Colby, Wisconsin",N,Curbside Bus Stop only (no shelter),1210 North Division St.,Super 29 Shell,,Colby,WI,54421,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,C,Y,15,15,"44.928553,-90.314667",1398,,,,,,,,,,,,,,,,,,,,,Exemption 6,District Manager of Stations - Amtrak,"433 West St. Paul Avenue, Milwaukee WI 53203",Exemption 6,,Exemption 6,,,,Exemption 6,Asst Superintendent of Stations,525 West Van Buren Street / 2nd Floor / Chicago IL 60606,Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,,,,,,
ABE,"Aberdeen, Maryland",N,Station Building (with waiting room),18 East Bel Air Avenue,Amtrak/MARC Station,,Aberdeen,MD,21001-3701,United States,Mid-Atlantic,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,,,,,E,Y,30,30,"39.508447,-76.163260",90,18000,See Quik-Trak hours for kiosk availability.,,,,,,,,,,,,,,,,,,,Exemption 6,District Manager Stations,"Baltimore, MD",Exemption 6,Exemption 6,Exemption 6,Exemption 6,BAL,Y422,Exemption 6,Assistant Superintendent Stations,"Washington,DC",Exemption 6,Exemption 6,Exemption 6,Exemption 6,WA7,,-MTWTF- 0400-0930 1430-2030,,,,,-MTWTF- 0400-0930 1430-2030,,,,,SMTWTFS 0000-2359
ABN,"Absecon, New Jersey",N,Platform with Shelter,Shore Road and Ohio Avenue,New Jersey Transit Station,,Absecon,NJ,08201,United States,Northeast,973-275-5555,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,,,,,E,Y,30,30,"39.424041,-74.501475",20,8065,NJ Transit tickets (only) avail from ticket vending machine.,,Exemption 6,,,,,,,,,,,,,,,,,New Jersey Transit,none,none,Exemption 6,,,,,,Exemption 6,none,none,Exemption 6,,,,,,,,,,,,,,,,
ABQ,"Albuquerque, New Mexico",Y,Station Building (with waiting room),320 1st Street SW,Alvarado Transportation Center,,Albuquerque,NM,87102-3405,United States,Southwest,505-842-9650,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,,,,Via Rail Canada,M,Y,60,30,"35.083457,-106.648024",4959,450000,**Limited access at 1st St. curb-side only on 12May**,Exemption 6,Exemption 6,,Exemption 6,,ABQ,ABQL,,,,,,,,Exemption 6,,,,Exemption 6,District Manager Stations - use station phone number,"Albuquerque, NM",Exemption 6,,,,,,Exemption 6,Acting Superintendent Passenger Services,"Los Angeles, CA",Exemption 6,Exemption 6,,,LA3,,SMTWTFS 0000-2359,SMTWTFS 0945-1700,SMTWTFS 0945-1700,SMTWTFS 0945-1700,,SMTWTFS 0000-2359,,,,,SMTWTFS 0000-2359
ACA,"Antioch-Pittsburg, California",N,Platform with Shelter,100 I Street,,,Antioch,CA,94509-1122,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,P,Y,30,30,"38.017700,-121.816024",14,100586,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,District Manager of Stations,"200 Santa Fe Ave., #A, Hanford, CA  93230",Exemption 6,NONE    ,Exemption 6,NONE    ,HN7,HNFL,Exemption 6,Asst. Superintendent - Passenger Svcs,"Oakland, CA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,PLH,OKJL,,,,,,,,,,,
ACY,"Atlantic City, New Jersey",N,Station Building (with waiting room),1 Atlantic City Expressway,New Jersey Transit Station,,Atlantic City,NJ,08401-4106,United States,Northeast,973-491-9400,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,,,,New Jersey Transit,E,Y,30,30,"39.362689,-74.439903",7,37000,Quik-Trak not for ACY-PHL walkup sales.  PNR required.,Exemption 6,Exemption 6,000-0000,,,,,,,,,,,,,,,,Exemption 6,Ticket Supervisor,acy,Exemption 6,,,,,,Exemption 6,Same,acy,Exemption 6,,,,,,SMTWTFS 0000-2359,,,,SMTWTFS 0545-2100,SMTWTFS 0000-2359,,,,,
ADA,ADA Seat Removal,,Pseudo Station,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,"null,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,"Ardmore, Oklahoma",N,Station Building (with waiting room),251 East Main Street,,,Ardmore,OK,73401-7016,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,"34.172465,-97.125510",871,24810,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,"District Manager, Customer Service","Austin, TX.",Exemption 6,NONE    ,Exemption 6,NONE    ,AUS,AUSL,Exemption 6,Acting Superintendent - Passenger Services,"Los Angeles, CA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,LA3,,SMTWTFS 1030-1930,,,,,,,,,,
AGM,"Augusta, Maine",N,Curbside Bus Stop only (no shelter),9 Industrial Drive,Transportation Center,,Augusta,ME,04330,United States,Northeast,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,"44.355913,-69.799133",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,"Ashland, Oregon",N,Curbside Bus Stop only (no shelter),585 Siskiyou Blvd,Safeway Market,Bus stop at the corner of Sherman and Siskiyou,Ashland,OR,97520,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,,,,Bus Company,P,Y,30,30,"42.193207,-122.706715",1954,20881,"For more information, see ""Thruway Service""",Unstaffed Stops,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,"Manager, Bus Operations Northern California","Bakersfield, California",Exemption 6,,Exemption 6,,,,Exemption 6,"Director, Thruway Bus Operations",Los Angeles,Exemption 6,Exemption 6,Exemption 6,Exemption 6,bus,ladp,-MTWTFS 0730-1900,,,,,,,,,,
