Code,StationName,Staffed,StationType,Address1,Address2,Address3,City,State,Zip,Country,Division,PublicPhone,TicketOffice,QuikTrak,MetrolinkTVM,CheckedBaggage,AmtrakExpress,HandleUSMail,Lounge,UnaccompaniedChildren,AdvPayPPO,AmtrakTrains,Non-AmtrakTrains,DedicatedThruway,CoordinatedThruway,OtherTransportation,GroupCity,IATACode,IATAName,NonAmtrakTicketSale,TimeZone,ObserveDayLightSaving,CheckInWService,CheckInWOService,Latitude/Longitude,Elevation,Population,FreeText,TicketOfficeName,TicketOfficePh,TicketOfficeATSPh,TicketOfficeFax,TicketOfficeATSFax,TicketOfficeQueue,TicketOfficeMshPrinter,StationServicesName,StationServicesPh,StationServicesATSPh,StationServicesFax,StationServicesATSFax,StationServicesQueue,StationServicesMsgPrinter,StationServicesPaging,StationServicesATSPaging,StationServicesLostFoundPh,StationServicesLostFoundATSPh,FirstLvlSupervisorName,FirstLvlSupervisorTitle,FirstLvlSupervisorLocation,FirstLvlSupervisorPh,FirstLvlSupervisorATSPh,FirstLvlSupervisorFax,FirstLvlSupervisorATSFax,FirstLvlSupervisorQueue,FirstLvlSupervisorMsgPrinter,SecondLvlSupervisorName,SecondLvlSupervisorTitle,SecondLvlSupervisorLocation,SecondLvlSupervisorPh,SecondLvlSupervisorATSPh,SecondLvlSupervisorFax,SecondLvlSupervisorATSFax,SecondLvlSupervisorQueue,SecondLvlSupervisorMsgPrinter,WaitingRoomHours,BaggageHours,MeetAndAssistHours,TicketHours,Non-AmtrakTicket,Quik-TrakHours,MetrolinkTVMHours,LoungeHours,ExpressHours,MailOfficeHours,ParkingHours
FOX,"Foxwoods Casino, Connecticut",N,Curbside Bus Stop only (no shelter),39 Norwich Westerley Road,Foxwoods Resort Casino,,Ledyard,CT,06339-1128,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,E,Y,30,30,"41.472320,-71.959227",190,,"Busses from New London,Ct. train sta. go to: www.seatbus.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,"Framingham, Massachusetts",N,Platform with Shelter,417 Waverly Street,Intersection Route 126 at Route 135,,Framingham,MA,01702-6948,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,E,Y,30,30,"42.276688,-71.417465",165,35000,TRAIN SERVICE TO POINTS WEST ONLY  TRAIN #449. ALB-CHI,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,DISTRICT MANAGER STATIONS,BOSTON SOUTH STATION,Exemption 6,Exemption 6,Exemption 6,Exemption 6,BO7,P424,Exemption 6,SUPERINTENDANT STATIONS NEW ENGLAND,BOSTON SOUTH STATION,Exemption 6,Exemption 6,Exemption 6,Exemption 6,BO7,P424,,,,,,,,,,,
FRC,"Frederick (Transit Center), Maryland",N,Station Building (with waiting room),100 South East Street,Frederick Transit Center/MARC Station,,Frederick,MD,21704,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,Y,,Y,,FDX,,,MARC,E,Y,15,15,"39.411855,-77.405580",279,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRO,"Florence, Oregon",N,Curbside Bus Stop only (no shelter),290 US Highway 101,"US 101 and 2nd Street, east side",Between Chamber of Commerce/Crab Kettle,Florence,OR,97439,United States,Pacific Northwest,541-902-9076,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,P,Y,30,30,"43.968173,-124.107588",16,8122,"For more information, see ""Thruway Service""",Unstaffed Stop - No Amtrak Services,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Director Thruway Bus Operations,"Los Angeles, California",Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,,,,,--TWTFS 0800-1700,,,,,,,,,,
FRR,"Frederick (Airport), Maryland",N,Curbside Bus Stop only (no shelter),1341 Hughes Ford Road,BayRunner Shuttle Office,,Frederick,MD,21705,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,FDX,,,,E,Y,15,15,"39.416261,-77.382299",299,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT,"Fremont (San Joaquin Buses), California",N,Curbside Bus Stop only (no shelter),42745 Mission Blvd,off I-680,Across Mission from McDonalds/Caltrans Park and Ride Lot,Fremont,CA,94538,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,FRX,,,,P,Y,30,30,"37.539150,-121.923640",264,162800,"For more information, see ""Thruway Service""",,,,,,,,,,,,,,,,,,,Exemption 6,Manager Thruway Bus Operations,"Bakersfield, California",Exemption 6,,Exemption 6,,,,Exemption 6,ASST. SUPERVISOR,"OAKLAND, CA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,PLH,,,,,,,,,,,,
FSB,"Frostburg, Maryland",N,Curbside Bus Stop only (no shelter),101 Braddock Road,"Frostburg State Univ, Harold J Cordts PE Ctr",,Frostburg,MD,21532,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,"39.648900,-78.933168",1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSC,"Frisco, Colorado",N,Curbside Bus Stop only (no shelter),1010 Meadow Drive,Frisco Transfer Center,,Frisco,CO,80443,United States,Central,970-668-8917,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,M,Y,30,30,"39.588416,-106.098178",9070,2500,,Non-Amtrak staffed bus stop,Exemption 6,,,,,,,,,,,,,,,,,Exemption 6,District Manager,Chicago,Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,Exemption 6,Superintendant,Chicago,Exemption 6,Exemption 6,,,,,,,,,,,,,,,
FTA,"Fortuna, California",N,Curbside Bus Stop only (no shelter),719 South Fortuna Blvd,Pepper's Restaurant,,Fortuna,CA,95540,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,30,30,"40.583672,-124.146188",71,63300,"For more information, see ""Thruway Service""",Unstaffed Thruway Bus Stop,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Manager Thruway Bus Operations,"Bakersfield, California",Exemption 6,,Exemption 6,,,,Exemption 6,Director of Bus Operations,"Los Angeles, California",Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,,,,,,
FTC,"Ticonderoga, New York",N,Platform with Shelter,NYS Hwy 74 and Sandy Redoubt,near Lake Champlain Ferry,,Ticonderoga,NY,12883,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,"43.853788,-73.389681",117,2100,,UNSTAFFED SHELTER,000-000-0000,,,,,,Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,Exemption 6,District Manager Stations,"ALBANY/RENSSELAER, NY",Exemption 6,Exemption 6,Exemption 6,Exemption 6,AL7,ALBL,Exemption 6,District Superintendent Empire Service,"Albany/Rensselaer,N.Y.",Exemption 6,Exemption 6,,,al7,,,,,,,,,,,,
FTL,"Fort Lauderdale, Florida",Y,Station Building (with waiting room),200 Southwest  21 Terrace,,,Fort Lauderdale,FL,33312,United States,Southern,954-587-6692,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,,,,Via Rail Canada,E,Y,60,30,"26.119256,-80.170000",4,152397,,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,FTL,FTLL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,FTL,FTLL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,District Manager Stations,"Maimi, Fl",Exemption 6,Exemption 6,Exemption 6,Exemption 6,MI7,M0E7,Exemption 6,Asst. Superintendent - Passenger Services,"Miami, Fl",Exemption 6,Exemption 6,Exemption 6,NONE    ,MI7,None,SMTWTFS 0815-1815,SMTWTFS 0815-1815,SMTWTFS 0815-1815,SMTWTFS 0815-1815,,SMTWTFS 0815-1815,,,SMTWTFS 1030-1700,,
FTM,"Fort Myers, Florida",N,Curbside Bus Stop only (no shelter),6050 Plaza Drive,"Fort Myers Travel Plaza, I-75 exit 139",,Fort Myers,FL,33906-4419,United States,Southern,000-000-0000,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,,,,,E,Y,30,30,"26.655312,-81.801382",18,60531,See Thruway Information,,,,,,,,,,,,,,,,,,,Exemption 6,District Manager Stations,"Orlando, Florida",Exemption 6,,Exemption 6,,ORL,ORLL,Exemption 6,Asst. Supt. Stations/PSD,"Miami, Fl.",Exemption 6,,Exemption 6,,,,,,,,,,,,,,
FTN,"Fulton, Kentucky",N,Station Building (with waiting room),21 Newton Road,,,Fulton,KY,42041,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,"36.525704,-88.888772",420,2775,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,District Station Manager,"St. Louis, MO",Exemption 6,Exemption 6,Exemption 6,Exemption 6,ST7,STLL,Exemption 6,Superintendent - Passenger Services,"Chicago, IL",Exemption 6,Exemption 6,Exemption 6,Exemption 6,CH3,,SMTWTFS 0100-0200 0300-0430,,,,,,,,,,
FTW,"Fort Worth, Texas",Y,Station Building (with waiting room),1001 Jones Street,,,Fort Worth,TX,76102,United States,Southwest,817-332-2931,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,,,,Via Rail Canada,C,Y,60,30,"32.752563,-97.326673",601,703073,,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,FTW,FTWL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,FTW,FTWL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,District Manager,"Austin, TX.",Exemption 6,NONE    ,Exemption 6,NONE    ,AUS,AUSL,Exemption 6,Acting Superintendent - Passenger Services,"Los Angeles, CA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,LA3,,SMTWTFS 0800-1800,SMTWTFS 1000-1730,SMTWTFS 1000-1700,SMTWTFS 1000-1730,,SMTWTFS 0830-2200,,,SMTWTFS 1000-1700,,SMTWTFS 0000-2359
FUL,"Fullerton, California",Y,Station Building (with waiting room),120 East Santa Fe Avenue,Fullerton Transportation Center,,Fullerton,CA,92832,United States,Southwest,714-992-0530,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,,,,Via Rail Canada,P,Y,60,30,"33.868969,-117.922849",162,114000,,Exemption 6,Exemption 6,,Exemption 6,,FUL,FULL,Exemption 6,Exemption 6,,Exemption 6,,FUL,FULL,Exemption 6,,Exemption 6,,Exemption 6,District Manager of Stations,"Santa Barbara, CA",Exemption 6,,Exemption 6,,SB7,SBAL,Exemption 6,District Manager of Stations,"Santa Barbara, CA",Exemption 6,,,,,,SMTWTFS 0600-2245,SMTWTFS 0600-2245,SMTWTFS 0600-2245,SMTWTFS 0600-2245,,SMTWTFS 0600-2245,SMTWTFS 0000-2359,,,,
GAC,"Santa Clara (Great America), California",N,Platform only (no shelter),5099 Stars & Stripes Drive,Under Tasman Drive Overpass,,Santa Clara,CA,95054,United States,Pacific,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,,,,,P,Y,30,30,"37.406778,-121.967003",13,108518,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,District Manager of Stations,"Sacramento, CA",Exemption 6,,Exemption 6,,,,Exemption 6,Assistant Superintendent of Passenger Services,"Oakland, CA",Exemption 6,Exemption 6,,,,,,,,,,SMTWTFS 0000-2359,,,,,
GAI,"Gaithersburg, Maryland",,Pseudo Station,5 South Summit Avenue,MARC Station,,Gaithersburg,MD,20877,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,"null,null",,,"MARC commuter trains only, no Amtrak trains stop here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-MTWTF- 0530-2030; ------S 0800-1530,,,,,-MTWTF- 0530-2030; ------S 0800-1530,,,,,
GAS,"Gastonia, North Carolina",N,Station Building (with waiting room),350 Hancock Street,,,Gastonia,NC,28054,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,"35.269186,-81.162366",819,69904,,Unstaffed Station ,,,,,,,Unstaffed Station ,,,,,,,,,,,Exemption 6,District Manager - Stations,"400 South West Street, Raleigh, NC 27601",Exemption 6,Exemption 6,Exemption 6,Exemption 6,RG7,,Exemption 6,Assistant Superintendent - Passenger Services,"1001 Loyola Ave, New Orleans, LA 70013",Exemption 6,Exemption 6,Exemption 6,Exemption 6,NO7,N0F6,,,,,,,,,,,
GBB,"Galesburg, Illinois",Y,Station Building (with waiting room),225 South Seminary Street,,,Galesburg,IL,61401,United States,Central,309-342-8993,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,,,,,Via Rail Canada,C,Y,60,30,"40.944678,-90.364106",780,31738,,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,GBB,GBBL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,GBB,GBBL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,"District Manager, Customer Service","Galesburg, IL",Exemption 6,,Exemption 6,Exemption 6,,,Exemption 6,Asst. Superintendent Pasenger Services,"Chicago, IL",Exemption 6,,,,,,SMTWTFS 0700-2100,,SMTWTFS 0700-2100,SMTWTFS 0700-2035,,SMTWTFS 0700-2100,,,,,
GBC,"Garibaldi Highlands, British Columbia",N,Curbside Bus Stop only (no shelter),40446 Government Road,Greyhound Canada Bus Stop,,Garibaldi Highlands,BC,V0N 1T0,Canada,Pacific,800-898-3914,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Greyhound Canada,P,Y,30,30,"49.741591,-123.136652",49,5966,"See ""Thruway Service"" for more info See G/AMW/B02/P61-P62",Unstaffed Bus Stop,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Director Thruway Bus Operations,"Los Angeles, California",Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,,,,,,,,,,,,,,,
GBT,"Greenbelt, Maryland",,Pseudo Station,5600 Greenbelt Metro Drive,MARC/Metro Station,,Greenbelt,MD,20770,,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,"null,null",,,"MARC commuter trains only, no Amtrak trains stop here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBV,"Garberville, California",N,Curbside Bus Stop only (no shelter),924 Redwood Drive,Waterwheel Restaurant,,Garberville,CA,95542,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,30,30,"40.097700,-123.795143",556,1200,"For more information, see ""Thruway Service""",Exemption 6,Exemption 6,Exemption 6,,,,,,,,,,,,,,,,Exemption 6,Manager Thruway Bus Operations,"Bakersfield, California",Exemption 6,,Exemption 6,,,,Exemption 6,District Superintendent,Oakland,Exemption 6,,,,,,,,,,,,,,,,
GBY,"Green Bay, Wisconsin",N,Station Building (with waiting room),800 Cedar Street,Greyhound Station,,Green Bay,WI,54301,United States,Central,920-432-4883,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,,,,,C,Y,30,30,"44.514294,-88.004702",590,100353,,,,,,,,,,,,,,,,,,,,Exemption 6,District Manager of Stations,"433 West St. Paul Avenue, Milwaukee WI 53203",Exemption 6,,Exemption 6,,MK7,,Exemption 6,Asst Superintendent of Stations,525 West Van Buren Street / 2nd Floor / Chicago IL 60606,Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,,,,,,
GCA,Group Car Attendant,,Pseudo Station,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,"null,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCB,"Grand Canyon National Park (Buses), Arizona",N,Curbside Bus Stop only (no shelter),Maswik Lodge,,,Grand Canyon National Park,AZ,86023,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,GCX,,,,M,N,30,30,"36.053640,-112.144648",6848,1460,See 'GCN' for Grand Canyon Railway station,,,,,,,,,,,,,,,,,,,Exemption 6,DISTRICT MANAGER STATIONS,"Albuquerque, NM",Exemption 6,,,,,,Exemption 6,Acting Superintendent - Passenger Services,"Los Angeles, CA",Exemption 6,Exemption 6,,,LA3,,,,,,,,,,,,
GCK,"Garden City, Kansas",Y,Station Building (with waiting room),100 North 7th Street,One block south of 7th/Fulton (Bus. Hwy. 50),,Garden City,KS,67846,United States,Southwest,620-275-9533,Y,N,N,N,N,N,N,N,Y,Y,,,,,,,,,C,Y,30,15,"37.964365,-100.873256",2835,26665,"Sta/Tkt Ofc Closed Sat Nights, Sundays, Mon Mornings",Exemption 6,Exemption 6,,Exemption 6,,GCK,GCKL,,,,,,,,,,,,Exemption 6,District Manager Stations,"Albuquerque, NM",Exemption 6,,,,,,Exemption 6,Acting Superintendent Passenger Services,"Los Angeles, CA",Exemption 6,Exemption 6,,,LA3,,-M----- 2200-2359; --TWTF- 0600-0900 2200-2359; ------S 0600-0900,,-M----- 2200-2359; --TWTF- 0600-0900 2200-2359; ------S 0600-0900,-M----- 2200-2359; --TWTF- 0600-0900 2200-2359; ------S 0600-0900,,,,,,,
GCN,"Grand Canyon National Park (Railway), Arizona",N,Station Building (with waiting room),Grand Canyon Railway Station,downhill from Bright Angel Lodge,South Rim,Grand Canyon National Park,AZ,86023,United States,Southwest,800-843-8724,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,GCX,,,,M,N,30,30,"36.056867,-112.136845",6882,1460,Open Road Tours drops/picks up at Maswik Lodge Lobby.,,,,,,,,,,,,,,,,,,,Exemption 6,DISTRICT MANAGER STATIONS,"Albuquerque, NM",Exemption 6,,,,,,Exemption 6,Acting Superintendent - Passenger Services,"Los Angeles, CA.",Exemption 6,,Exemption 6,,,,,,,,,,,,,,
GDL,"Glendale, California",N,Platform with Shelter,400 West Cerritos Avenue,Glendale Transportation Center,,Glendale,CA,91204,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,,,,,P,Y,30,30,"34.123706,-118.258868",434,155000,Thruway Bus departs from bus sign at north end of station.,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,District Manager of Stations,"Santa Barbara, CA",Exemption 6,NONE    ,Exemption 6,NONE    ,SB7,SBAL,Exemption 6,District Manager of Stations,"Santa Barbara, CA",Exemption 6,,,,,,,,,,,,SMTWTFS 0000-2359,,,,
GEM,"Germantown, Maryland",,Pseudo Station,19311 Mateny Hill Road,MARC Station,,Germantown,MD,20875,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,"null,null",,,"MARC commuter trains only, no Amtrak trains stop here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFK,"Grand Forks, North Dakota",Y,Station Building (with waiting room),5555 DeMers Avenue,,,Grand Forks,ND,58201,United States,Central,701-775-0484,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,,,,,Via Rail Canada,C,Y,60,30,"47.917522,-97.110835",836,51313,NO SHORT TERM PARKING - SEE 'PARKING',Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,GFK,GFKL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,GFK,GFKL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,District Manager - Stations,"433 W. St. Paul Avenue, Milwaukee WI 53203",Exemption 6,NONE    ,Exemption 6,NONE    ,MK7,MKEL,Exemption 6,Assistant Superintendent of Stations - Midwest,525 West Van Buren Street / 2nd Floor / Chicago IL 60606,Exemption 6,Exemption 6,Exemption 6,Exemption 6,   ,    ,SMTWTFS 0000-0800,SMTWTFS 0000-0800,,SMTWTFS 0000-0800,,,,,SMTWTFS 0000-0800,,
GFV,"Greenfield Village, Michigan",N,Platform with Shelter,20900 Oakwood Boulevard,Stop for prearranged groups only,,Dearborn,MI,48216,United States,Central,800-872-1477,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,No,E,Y,30,30,"42.307458,-83.228538",598,,No Amtrak trains stop here; use DER station and taxi,,,,,,,,Amtrak Group Desk,Exemption 6,,,,,,,,,,Exemption 6,District Manager Stations-east,"Toledo, OH",Exemption 6,NONE    ,Exemption 6,NONE    ,TO7,TOLL,Exemption 6,"Assist. Superintendent, Customer Service","Chicago, Illinois",Exemption 6,,Exemption 6,,,,,,,,,,,,,,
GGW,"Glasgow, Montana",N,Station Building (with waiting room),424 1st  Avenue South,,,Glasgow,MT,59230-2396,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,M,Y,30,30,"48.194854,-106.636188",2092,3523,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,District Manager Stations,"Seattle, WA",Exemption 6,Exemption 6,Exemption 6,,SE7,P706,Exemption 6,Asst Superintendent Passenger Service,"Seattle, WA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,SE7,P706,SMTWTFS 0000-2359,,,,,,,,,,
GHL,"Gold Hill, Oregon",N,Curbside Bus Stop only (no shelter),868 2nd Avenue,Ray's Market,,Gold Hill,OR,97525,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,N,Y,,,,,,P,Y,15,15,"42.431980,-123.054646",1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHT,"Gearhart, Oregon",N,Curbside Bus Stop only (no shelter),"4320 Highway 101, North",Gearhart Builders Supply Store,at curb,Gearhart,OR,97301,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,From Bus Driver,P,Y,30,30,"46.036616,-123.913350",42,995,"For more information, see ""Thruway Service""",Unstaffed Stop - No Amtrak Services,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Service Manager,"Portland, Oregon",Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,,,,,SMTWTFS 0900-2100,,,,,,,,,,
GIF,Gift Certificate,,Pseudo Station,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,"null,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMTWTFS 0000-2359,,SMTWTFS 0000-2359,,,,,
GJT,"Grand Junction, Colorado",Y,Station Building (with waiting room),339 South 1st Street,,,Grand Junction,CO,81501-2207,United States,Pacific,970-241-2733,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,M,Y,60,30,"39.064375,-108.569929",4578,45000,Checked baggage -Groups - 90min. all others -60 min. MINIMUM,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,GJT,GJTL,See Ticket Office,Exemption 6,NONE    ,Exemption 6,NONE    ,GJT,GJTL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,District Manager of Stations,"Sacramento, CA",Exemption 6,,Exemption 6,,,,Exemption 6,Asst. Superintendent of Passenger Services,"Oakland, CA",Exemption 6,Exemption 6,,,,,SMTWTFS 0800-1715,SMTWTFS 0800-1700,SMTWTFS 0800-1700,SMTWTFS 0800-1700,,,,,SMTWTFS 0800-1700,,
GLE,"Gainesville, Texas",N,Station Building (with waiting room),605 East California Street,,,Gainesville,TX,76240,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,"33.625159,-97.140896",735,16452,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,"District Manager, Customer Service","Austin, TX.",Exemption 6,NONE    ,Exemption 6,NONE    ,AUS,AUSL,Exemption 6,Acting Superintendent - Passenger Services,"Los Angeles, CA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,LA3,,SMTWTFS 1114-1845,,,,,,,,,,
GLF,Golf Bag,,Pseudo Station,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,"null,null",,,City code to allow collection of carry-on golf bag charges.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM,"Gilman, Illinois",N,Platform with Shelter,US Highway 24 & West Wenona Street,,,Gilman,IL,60983,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,,C,Y,30,30,"40.752547,-87.998055",654,1913,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,DISTRICT STATION MANAGER,ST. LOUIS MISSOURI,Exemption 6,Exemption 6,Exemption 6,Exemption 6,ST7,STLL,Exemption 6,Assistant Superintendent Stations,"St. Paul, MN",Exemption 6,NONE    ,Exemption 6,NONE    ,,,,,,,,,,,,,
GLN,"Glenview, Illinois",Y,Station Building (with waiting room),1116 Depot Street,,,Glenview,IL,60025,United States,Central,847-724-2530,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,,,,Via Rail Canada,C,Y,60,30,"42.075038,-87.805562",631,46321,,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,GLN,GLNL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,GLN,GLNL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,"District Manager, Customer Service","Chicago, IL",Exemption 6,NONE    ,Exemption 6,NONE    ,MK7,MKEL,Exemption 6,Asst. Superintendent - Passenger Services,525 West Van Buren Street / 2nd Floor / Chicago IL 60606,Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,SMTWTFS 0515-2030,,SMTWTFS 0515-2015,SMTWTFS 0515-2015,,,,,,,
GLP,"Gallup, New Mexico",N,Station Building (with waiting room),201 East Highway 66,(Amtrak shares space with Gallup Cultural Center),,Gallup,NM,87301,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,N/A,M,Y,30,30,"35.529176,-108.740548",6509,19000,,Unstaffed Station,,,,,,,,,,,,,,,,,,Exemption 6,District Manager Stations,"Albuquerque, NM",Exemption 6,,,,,,Exemption 6,Acting Superintendent Passenger Services,"Los Angeles, CA",Exemption 6,Exemption 6,,,LA3,,SMTWTFS 0830-1600 1830-1930,,,,,,,,,,
GLS,"Galveston (Texas Eagle Bus), Texas",N,Curbside Bus Stop only (no shelter),123 Rosenberg Street,Galveston Railroad Museum,,Galveston,TX,77550,United States,Southwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,GLX,,,,C,Y,30,30,"29.306615,-94.796849",6,64519,,,,,,,,,,,,,,,,,,,,Exemption 6,District Manager,"Austin, TX.",Exemption 6,,Exemption 6,,JPA,AUSL,Exemption 6,Acting Superintendent - Passenger Services,"Los Angeles, Ca.",Exemption 6,Exemption 6,Exemption 6,Exemption 6,LA3,,,,,,,,,,,,
GLV,"Galveston (Sunset Limited Bus), Texas",N,Station Building (with waiting room),"3825 Broadway, Suite B",A-Z Cellular Phone/Valero Station,,Galveston,TX,77550-3819,United States,Southwest,409-765-7731,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,GLX,,,,C,Y,30,30,"29.295208,-94.809920",8,,,,,,,,,,,,,,,,,,,,,Exemption 6,District Manager,"Austin, TX.",Exemption 6,,Exemption 6,,,,Exemption 6,Acting Superintendent - Passenger Services,"Los Angeles, CA.",Exemption 6,,Exemption 6,,,,-MTWTFS 0800-1800,,,,-MTWTFS 0800-1800,,,,,,
