Year,1F,2F,3F,4F,5F,1M,2M,3M,4M,5M
2018,Emma,Olivia,Ava,Isabella,Sophia,Liam,Noah,William,James,Oliver
2017,Emma,Olivia,Ava,Isabella,Sophia,Liam,Noah,William,James,Logan
2016,Emma,Olivia,Ava,Sophia,Isabella,Noah,Liam,William,Mason,James
2015,Emma,Olivia,Sophia,Ava,Isabella,Noah,Liam,Mason,Jacob,William
2014,Emma,Olivia,Sophia,Isabella,Ava,Noah,Liam,Mason,Jacob,William
2013,Sophia,Emma,Olivia,Isabella,Ava,Noah,Jacob,Liam,Mason,William
2012,Sophia,Emma,Isabella,Olivia,Ava,Jacob,Mason,Ethan,Noah,William
2011,Sophia,Isabella,Emma,Olivia,Ava,Jacob,Mason,William,Jayden,Noah
2010,Isabella,Sophia,Emma,Olivia,Ava,Jacob,Ethan,Michael,Jayden,William
2009,Isabella,Emma,Olivia,Sophia,Ava,Jacob,Ethan,Michael,Alexander,William
2008,Emma,Isabella,Emily,Olivia,Ava,Jacob,Michael,Ethan,Joshua,Daniel
2007,Emily,Isabella,Emma,Ava,Madison,Jacob,Michael,Ethan,Joshua,Daniel
2006,Emily,Emma,Madison,Isabella,Ava,Jacob,Michael,Joshua,Ethan,Matthew
2005,Emily,Emma,Madison,Abigail,Olivia,Jacob,Michael,Joshua,Matthew,Ethan
2004,Emily,Emma,Madison,Olivia,Hannah,Jacob,Michael,Joshua,Matthew,Ethan
2003,Emily,Emma,Madison,Hannah,Olivia,Jacob,Michael,Joshua,Matthew,Andrew
2002,Emily,Madison,Hannah,Emma,Alexis,Jacob,Michael,Joshua,Matthew,Ethan
2001,Emily,Madison,Hannah,Ashley,Alexis,Jacob,Michael,Matthew,Joshua,Christopher
2000,Emily,Hannah,Madison,Ashley,Sarah,Jacob,Michael,Matthew,Joshua,Christopher
1999,Emily,Hannah,Alexis,Sarah,Samantha,Jacob,Michael,Matthew,Joshua,Nicholas
1998,Emily,Hannah,Samantha,Sarah,Ashley,Michael,Jacob,Matthew,Joshua,Christopher
1997,Emily,Jessica,Ashley,Sarah,Hannah,Michael,Jacob,Matthew,Christopher,Joshua
1996,Emily,Jessica,Ashley,Sarah,Samantha,Michael,Matthew,Jacob,Christopher,Joshua
1995,Jessica,Ashley,Emily,Samantha,Sarah,Michael,Matthew,Christopher,Jacob,Joshua
1994,Jessica,Ashley,Emily,Samantha,Sarah,Michael,Christopher,Matthew,Joshua,Tyler
1993,Jessica,Ashley,Sarah,Samantha,Emily,Michael,Christopher,Matthew,Joshua,Tyler
1992,Ashley,Jessica,Amanda,Brittany,Sarah,Michael,Christopher,Matthew,Joshua,Andrew
1991,Ashley,Jessica,Brittany,Amanda,Samantha,Michael,Christopher,Matthew,Joshua,Andrew
1990,Jessica,Ashley,Brittany,Amanda,Samantha,Michael,Christopher,Matthew,Joshua,Daniel
1989,Jessica,Ashley,Brittany,Amanda,Sarah,Michael,Christopher,Matthew,Joshua,David
1988,Jessica,Ashley,Amanda,Sarah,Jennifer,Michael,Christopher,Matthew,Joshua,Andrew
1987,Jessica,Ashley,Amanda,Jennifer,Sarah,Michael,Christopher,Matthew,Joshua,David
1986,Jessica,Ashley,Amanda,Jennifer,Sarah,Michael,Christopher,Matthew,Joshua,David
1985,Jessica,Ashley,Jennifer,Amanda,Sarah,Michael,Christopher,Matthew,Joshua,Daniel
1984,Jennifer,Jessica,Ashley,Amanda,Sarah,Michael,Christopher,Matthew,Joshua,David
1983,Jennifer,Jessica,Amanda,Ashley,Sarah,Michael,Christopher,Matthew,David,Joshua
1982,Jennifer,Jessica,Amanda,Sarah,Melissa,Michael,Christopher,Matthew,Jason,David
1981,Jennifer,Jessica,Amanda,Sarah,Melissa,Michael,Christopher,Matthew,Jason,David
1980,Jennifer,Amanda,Jessica,Melissa,Sarah,Michael,Christopher,Jason,David,James
1979,Jennifer,Melissa,Amanda,Jessica,Amy,Michael,Christopher,Jason,David,James
1978,Jennifer,Melissa,Jessica,Amy,Heather,Michael,Jason,Christopher,David,James
1977,Jennifer,Melissa,Amy,Jessica,Heather,Michael,Jason,Christopher,David,James
1976,Jennifer,Amy,Melissa,Heather,Angela,Michael,Jason,Christopher,David,James
1975,Jennifer,Amy,Heather,Melissa,Angela,Michael,Jason,Christopher,James,David
1974,Jennifer,Amy,Michelle,Heather,Angela,Michael,Jason,Christopher,David,James
1973,Jennifer,Amy,Michelle,Kimberly,Lisa,Michael,Christopher,Jason,James,David
1972,Jennifer,Michelle,Lisa,Kimberly,Amy,Michael,Christopher,James,David,John
1971,Jennifer,Michelle,Lisa,Kimberly,Amy,Michael,James,David,John,Robert
1970,Jennifer,Lisa,Kimberly,Michelle,Amy,Michael,James,David,John,Robert
1969,Lisa,Michelle,Jennifer,Kimberly,Melissa,Michael,David,James,John,Robert
1968,Lisa,Michelle,Kimberly,Jennifer,Melissa,Michael,David,John,James,Robert
1967,Lisa,Kimberly,Michelle,Mary,Susan,Michael,David,James,John,Robert
1966,Lisa,Kimberly,Mary,Michelle,Karen,Michael,David,James,John,Robert
1965,Lisa,Mary,Karen,Kimberly,Susan,Michael,John,David,James,Robert
1964,Lisa,Mary,Susan,Karen,Patricia,Michael,John,David,James,Robert
1963,Lisa,Mary,Susan,Karen,Linda,Michael,John,David,James,Robert
1962,Lisa,Mary,Susan,Karen,Linda,Michael,David,John,James,Robert
1961,Mary,Lisa,Susan,Linda,Karen,Michael,David,John,James,Robert
1960,Mary,Susan,Linda,Karen,Donna,David,Michael,James,John,Robert
1959,Mary,Susan,Linda,Karen,Donna,Michael,David,James,John,Robert
1958,Mary,Susan,Linda,Karen,Patricia,Michael,David,James,Robert,John
1957,Mary,Susan,Linda,Debra,Karen,Michael,James,David,Robert,John
1956,Mary,Debra,Linda,Deborah,Susan,Michael,James,Robert,David,John
1955,Mary,Deborah,Linda,Debra,Susan,Michael,David,James,Robert,John
1954,Mary,Linda,Deborah,Patricia,Susan,Michael,Robert,James,John,David
1953,Mary,Linda,Deborah,Patricia,Susan,Robert,James,Michael,John,David
1952,Linda,Mary,Patricia,Deborah,Susan,James,Robert,John,Michael,David
1951,Linda,Mary,Patricia,Deborah,Barbara,James,Robert,John,Michael,David
1950,Linda,Mary,Patricia,Barbara,Susan,James,Robert,John,Michael,David
1949,Linda,Mary,Patricia,Barbara,Susan,James,Robert,John,William,Michael
1948,Linda,Mary,Barbara,Patricia,Susan,James,Robert,John,William,David
1947,Linda,Mary,Patricia,Barbara,Sandra,James,Robert,John,William,Richard
1946,Mary,Linda,Patricia,Barbara,Carol,James,Robert,John,William,Richard
1945,Mary,Linda,Barbara,Patricia,Carol,James,Robert,John,William,Richard
1944,Mary,Barbara,Linda,Patricia,Carol,James,Robert,John,William,Richard
1943,Mary,Barbara,Patricia,Linda,Carol,James,Robert,John,William,Richard
1942,Mary,Barbara,Patricia,Linda,Carol,James,Robert,John,William,Richard
