State|Population_2019|Population_2010|House_Seats
California|39512223|37254523|53
Texas|28995881|25145561|36
Florida|21477737|18801310|27
New|York|19453561|+75459
Pennsylvania|12801989|12702379|18
Illinois|12671821|12830632|18
Ohio|11689100|11536504|16
Georgia|10617423|9687653|14
North_Carolina|10488084|9535483|13
Michigan|9986857|9883640|14
New|Jersey|8882190|+90296
Virginia|8535519|8001024|11
Washington|7614893|6724540|10
Arizona|7278717|6392017|9
Massachusetts|6949503|6547629|9
Tennessee|6833174|6346105|9
Indiana|6732219|6483802|9
Missouri|6137428|5988927|8
Maryland|6045680|5773552|8
Wisconsin|5822434|5686986|8
Colorado|5758736|5029196|7
Minnesota|5639632|5303925|8
South_Carolina|5148714|4625364|7
Alabama|4903185|4779736|7
Louisiana|4648794|4533372|6
Kentucky|4467673|4339367|6
Oregon|4217737|3831074|5
Oklahoma|3956971|3751351|5
Connecticut|3565287|3574097|5
Utah|3205958|2763885|4
Iowa|3155070|3046355|4
Puerto_Rico|3193694|3725789|1
Nevada|3080156|2700551|4
Arkansas|3017825|2915918|4
Mississippi|2976149|2967297|4
Kansas|2913314|2853118|4
New_Mexico|2096829|2059179|3
Nebraska|1934408|1826341|3
Idaho|1787065|1567582|2
West_Virginia|1792147|1852994|3
Hawaii|1415872|1360301|2
New_Hampshire|1359711|1316470|2
Maine|1344212|1328361|2
Montana|1068778|989415|1
Rhode_Island|1059361|1052567|2
Delaware|973764|897934|1
South_Dakota|884659|814180|1
North_Dakota|762062|672591|1
Alaska|731545|710231|1
District_of_Columbia|705749|601723|1
Vermont|623989|625741|1
Wyoming|578759|563626|1
Guam|165718|159358|1
U.S._Virgin_Islands|104914|106405|1
American_Samoa|55641|55519|1
Northern_Mariana_Islands|55194|53883|1
